REPOID,LANG,STARS,REPOURL
954251692,HTML,0.0,https://api.github.com/repos/AKBoles/colorpicker
1015338658,TypeScript,0.0,https://api.github.com/repos/ALFONSOVM13/PRUEBA-ANGULAR-GIT
1015624278,C#,0.0,https://api.github.com/repos/ALFONSOVM13/Prueba-Tecnica-NET
295412202,Verilog,0.0,https://api.github.com/repos/ALI-303/alikhan
928142887,PHP,0.0,https://api.github.com/repos/ALPERDURUKAN/huggingface-openai-key-scraper
1028738271,Java,0.0,https://api.github.com/repos/ALPullaguariSW/SistemaBuffetAbogados
908630447,,0.0,https://api.github.com/repos/ALTIOU/Dockerplay
934826314,HTML,1.0,https://api.github.com/repos/AM4517UMOR4NG/platform-dp
1012556239,JavaScript,0.0,https://api.github.com/repos/ANCLOCE/SOMA
1014835754,Blade,0.0,https://api.github.com/repos/ANDIOS-Droid/Bn-car-tranzport
1007864217,TypeScript,0.0,https://api.github.com/repos/AOM-Apirant/AOM-Aspirantt
1028867358,Kotlin,0.0,https://api.github.com/repos/AOberland/Cursor1st
1017618664,TypeScript,0.0,https://api.github.com/repos/AP0L0N/accounting
1012419029,TypeScript,0.0,https://api.github.com/repos/AP0L0N/cursor-bg-agents
1024901496,HTML,0.0,https://api.github.com/repos/AP0L0N/translator-app
986367119,JavaScript,1.0,https://api.github.com/repos/APT3233/apartment-rental-system
1011305690,TypeScript,1.0,https://api.github.com/repos/AR-Rahman123/ARRahman
1011372842,TypeScript,0.0,https://api.github.com/repos/AR-Rahman123/ContentGist
1014861383,TypeScript,0.0,https://api.github.com/repos/ARahim900/mbr
574823393,,0.0,https://api.github.com/repos/AS-max-03/git_test
386516091,HTML,0.0,https://api.github.com/repos/ASBmd/AlsabMuhammed
203570429,JavaScript,0.0,https://api.github.com/repos/ASG-art/spam2
981069036,HTML,0.0,https://api.github.com/repos/ASHURASINGLE/Bot-ashura
930495342,Python,0.0,https://api.github.com/repos/ASSERT-KTH/QuantizedSAE
274145878,,0.0,https://api.github.com/repos/ASTRO-crypto/ssss
1016442904,TypeScript,0.0,https://api.github.com/repos/AVOiD3D/BTSWEBAPP
514402424,Swift,14.0,https://api.github.com/repos/AWSary/AWSary-iOS
1020318248,Python,0.0,https://api.github.com/repos/AZACHECKER/checker
934218136,HTML,0.0,https://api.github.com/repos/AZIZOUELHAZI35zz/ark-ay
911212283,TypeScript,0.0,https://api.github.com/repos/Aadesh-dev/gemini-clone
737263647,TypeScript,0.0,https://api.github.com/repos/AadiHubb/JavaScriptCode
991568275,TypeScript,0.0,https://api.github.com/repos/AadidevRaizada/AhumAI
1021963835,Python,0.0,https://api.github.com/repos/Aadityasaxena28/DoctorDoc
1009460114,Python,0.0,https://api.github.com/repos/Aadityavarier/quantium-starter-repo
969256979,HTML,0.0,https://api.github.com/repos/Aahana04/FreshRescue
1015368355,,0.0,https://api.github.com/repos/Aaliyan28/chatbot
1013090220,HTML,0.0,https://api.github.com/repos/Aarefarizwan319/gamehub
1002243988,Vue,0.0,https://api.github.com/repos/Aaron-212/online-library-management
399275195,Python,0.0,https://api.github.com/repos/Aaron-Olson/console-blackjack-python
174412866,C#,0.0,https://api.github.com/repos/Aaronontheweb/Incrementalist
1018765610,Shell,2.0,https://api.github.com/repos/Aaronontheweb/ardbegian
706149662,,0.0,https://api.github.com/repos/Aarushi20020/HPTI-SEP-2023
1011788423,JavaScript,0.0,https://api.github.com/repos/Aashishvas/PE-dashboard
1028809322,,0.0,https://api.github.com/repos/Aasika01/Password
1028296311,HTML,0.0,https://api.github.com/repos/AayushKejriwal07/-Physics-Project-Portfolio-Website
1017893300,TypeScript,0.0,https://api.github.com/repos/AbHaY-PaWaR/ReelsMaster
1025669783,TypeScript,0.0,https://api.github.com/repos/Abdelrahman-azzab/stock-app
1010491165,C#,1.0,https://api.github.com/repos/AbdelrahmanTaymour/Shortly
1016385926,,0.0,https://api.github.com/repos/Abdelrahmasfirst/Steriscan
1013987095,TypeScript,0.0,https://api.github.com/repos/Abdou2025-2025/abdou-04-juillet-2025
1014932217,,0.0,https://api.github.com/repos/AbduU1laH/my-cv-website
961686856,TypeScript,0.0,https://api.github.com/repos/Abdul0000/NEXT.js-projects
1024380716,TypeScript,0.0,https://api.github.com/repos/Abdul8446/nexa-commerce-cursor
978775191,HTML,0.0,https://api.github.com/repos/Abdulaziz-06/Abdulaziz-06.github.io
978198220,JavaScript,0.0,https://api.github.com/repos/AbdulrahmanElshafie/DocManagerFront
1023244879,TypeScript,0.0,https://api.github.com/repos/AbdurRazzak01/OxyFi
996928929,TypeScript,0.0,https://api.github.com/repos/Abeeby/Eleia
953210862,TypeScript,0.0,https://api.github.com/repos/Abeeby/Globibat
1013408952,TypeScript,0.0,https://api.github.com/repos/Abeeby/Orth-a
1006311212,TypeScript,0.0,https://api.github.com/repos/AbelJSeba/trees
878590578,HTML,0.0,https://api.github.com/repos/Abhay1622/Fiza-Portfolio
1024145494,Python,0.0,https://api.github.com/repos/AbhayRao38/Test
1021958497,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/FACE1
1022428478,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/FACE3
1023460267,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/FACE4
1021873246,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/FTS1
1021902349,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/FTS2
1020557917,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/face-tracking-system
1020571600,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/face-tracking-system-2
1020655138,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/face-tracking-system-3
1020767400,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/face-tracking-system-4
1025690865,Python,0.0,https://api.github.com/repos/AbhiJeetAaNaNd2004/give-us-the-front-end
1024167243,Java,0.0,https://api.github.com/repos/AbhijeetMishra369/pharmaGO
1016547902,TypeScript,0.0,https://api.github.com/repos/AbhijeetRaj646/dev-portfolio
847898859,Python,0.0,https://api.github.com/repos/Abhilashb7/Work
1024921908,CSS,0.0,https://api.github.com/repos/Abhinab-09/minor-project-1
583036626,JavaScript,0.0,https://api.github.com/repos/AbhinawRatan/Portfolio_Ai
1013707619,TypeScript,0.0,https://api.github.com/repos/Abhinay25670/HackMate-Project
916251319,JavaScript,0.0,https://api.github.com/repos/AbhisharSingh/QUIZ-TIME-
1019987239,JavaScript,0.0,https://api.github.com/repos/Abhishek6206-code/2218173
1014978539,Python,0.0,https://api.github.com/repos/Abhra-JS-Dev/learn-code
1024673872,JavaScript,0.0,https://api.github.com/repos/Abimoh2002/week8--assignment
1008510985,JavaScript,0.0,https://api.github.com/repos/Abiral-Karmacharya/Skill-Connect-React
347914617,C#,0.0,https://api.github.com/repos/Abishek1998/ABC-Dashboard
1028912543,JavaScript,0.0,https://api.github.com/repos/AbishekPrasad/techdaddy
1023066088,Hack,0.0,https://api.github.com/repos/Abishekkhanal/blogs
1020336025,PHP,0.0,https://api.github.com/repos/Abishekkhanal/channelManager
1020952804,JavaScript,0.0,https://api.github.com/repos/Abishekkhanal/channelManager2
1021502878,JavaScript,0.0,https://api.github.com/repos/Abishekkhanal/channelManager3
1021587992,PHP,0.0,https://api.github.com/repos/Abishekkhanal/channelManager4
720375446,C#,0.0,https://api.github.com/repos/Abmichael01/apple
876857550,JavaScript,0.0,https://api.github.com/repos/Abopu321/Prototype
1027550136,,0.0,https://api.github.com/repos/Abrarulhaq7865/java
1016633763,,0.0,https://api.github.com/repos/Abrazack03/abra
997109722,TypeScript,0.0,https://api.github.com/repos/AbsonDev/AgendaAi
1016980271,Python,0.0,https://api.github.com/repos/AbuAlYosn/paperless-ngx
1018365294,Python,0.0,https://api.github.com/repos/Abytronix/BFS_HACAKATHON
1002889699,C#,1.0,https://api.github.com/repos/Accelergreat/Accelergreat
1027490738,,0.0,https://api.github.com/repos/AceWalkerUwU/Otokaze
1028742560,JavaScript,0.0,https://api.github.com/repos/AceWalkerUwU/Taimuraguv1
1022412212,Lua,0.0,https://api.github.com/repos/Acebuggin/HEIGHTS-dj
745659647,,0.0,https://api.github.com/repos/Achillesy/Achillesy
384131388,,0.0,https://api.github.com/repos/Achilnos47/Achilnos47
1017397547,TypeScript,0.0,https://api.github.com/repos/Achyut-shekhar/bharatbiz
1015257403,JavaScript,1.0,https://api.github.com/repos/Acoste616/EVsite
312095480,Python,1.0,https://api.github.com/repos/Acronite/Scum-Management-System
606118549,Jupyter Notebook,1.0,https://api.github.com/repos/Adari-Harsha/Differential-Equations
1016883599,JavaScript,1.0,https://api.github.com/repos/Adarshktiwarii/Interview-Assignments
657003549,Python,0.0,https://api.github.com/repos/Adedev-W/grpc.ai
999794290,Python,2.0,https://api.github.com/repos/Adefful/vllmctl
1025295492,Lua,0.0,https://api.github.com/repos/Ades12121212121/EvolutionLibs
1018824335,TypeScript,0.0,https://api.github.com/repos/Adhinarayanakunchala/modern-react-admin
1018946158,TypeScript,0.0,https://api.github.com/repos/Adhinarayanakunchala/modren_web_foodapp
86247806,HTML,0.0,https://api.github.com/repos/AdikNKL17/adiknkl.github.io
810750398,JavaScript,0.0,https://api.github.com/repos/Aditibacchav/DigitalFlake
1026089350,HTML,0.0,https://api.github.com/repos/Aditisoni26/Portfolio0
1018617111,HTML,0.0,https://api.github.com/repos/Aditya746/Portfolio
431372372,JavaScript,0.0,https://api.github.com/repos/Adityamathurdev/Adityamathurdev
1028782574,Python,0.0,https://api.github.com/repos/AdmiralSalss/hzpuosiker
1008408881,TypeScript,0.0,https://api.github.com/repos/Adoosko/adrian-portfolio-v2
779761186,TypeScript,0.0,https://api.github.com/repos/AdrianRusan/nexthub
702651249,TypeScript,0.0,https://api.github.com/repos/AdrianRusan/shop-value
1016886544,,0.0,https://api.github.com/repos/AdrianaCaraeni/culinary-career-ladder-video-transciber
1003180941,JavaScript,0.0,https://api.github.com/repos/Adric4p14/Proyecto-
1005713867,Kotlin,0.0,https://api.github.com/repos/Adrien200269/blissful_kotlin
